Time(s)	415	445	480	515	555	590	630	680	Clear	NIR
0.00	2695	4673	6836	13777	23524	41597	51213	29402	65535	7314
0.60	2757	4779	7004	14297	23714	41643	51173	29396	65535	7322
1.20	2740	4744	6948	14176	23979	41903	51224	29406	65535	7344
1.80	2762	4790	7017	14342	24498	42439	51558	29534	65535	7410
2.40	2788	4845	7100	14586	24994	42955	51832	29664	65535	7468
3.00	2808	4893	7161	14753	25215	43120	51927	29709	65535	7494
3.60	2790	4853	7096	14572	24938	42840	51807	29661	65535	7458
4.20	2782	4835	7067	14495	25065	42959	51874	29686	65535	7475
4.80	2775	4827	7059	14454	24800	42667	51695	29624	65535	7440
5.40	2754	4780	6990	14270	24466	42256	51419	29514	65535	7388
6.00	2731	4725	6907	14065	24322	42104	51297	29474	65535	7370
6.60	2717	4698	6867	13954	24120	41915	51210	29445	65535	7350
7.20	2710	4680	6837	13876	24033	41807	51166	29426	65535	7338
7.80	2710	4691	6849	13899	24251	42075	51340	29473	65535	7366
8.40	2729	4735	6917	14060	24556	42372	51521	29550	65535	7400
9.00	2732	4749	6926	14093	24432	42237	51453	29557	65535	7392
9.60	2743	4777	6973	14198	24466	42263	51447	29539	65535	7392
10.20	2751	4806	7014	14302	24441	42169	51378	29506	65535	7378
10.80	2748	4804	7008	14293	24297	41916	51132	29383	65535	7340
11.40	2749	4811	7014	14320	24177	41745	50988	29353	65535	7323
12.00	2736	4787	6979	14217	23979	41501	50828	29261	65535	7290
12.60	2739	4797	7001	14255	24094	41612	50895	29310	65535	7302
13.20	2735	4792	6991	14229	24014	41488	50789	29240	65535	7286
13.80	2745	4816	7026	14321	23990	41477	50808	29260	65535	7286
14.40	2737	4794	6995	14235	23900	41398	50782	29276	65535	7279
